City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,arraial do cabo,-22.9661,-42.0278,20.920000000000016,83,40,6.17,BR,1690058534
121,berezovo,63.9381,65.0419,14.54000000000002,87,98,2.76,RU,1690058788
122,juneau,58.3019,-134.4197,15.610000000000014,100,100,2.06,US,1690058708
123,jamestown,42.097,-79.2353,25.850000000000023,50,40,4.63,US,1690058607
124,wailua homesteads,22.0669,-159.378,27.24000000000001,82,100,6.69,US,1690058788
125,effium,6.6292,8.0593,23.58000000000004,96,96,3.35,NG,1690058789
126,qaqortoq,60.7167,-46.0333,10.610000000000014,72,100,1.08,GL,1690058789
127,afaahiti,-17.75,-149.2833,24.930000000000007,65,78,3.96,PF,1690058509
128,canto del llano,8.1761,-80.973,27.730000000000018,80,96,2.24,PA,1690058789
129,khamis mushait,18.3064,42.7292,25.340000000000032,38,0,0.0,SA,1690058550
130,prainha,-1.8,-53.48,30.610000000000014,46,82,2.2,BR,1690058602
131,la resolana,19.6,-104.4333,32.110000000000014,63,54,2.81,MX,1690058789
132,novouzensk,50.4592,48.1431,19.310000000000002,52,100,2.22,RU,1690058789
133,badger,64.8,-147.5333,29.170000000000016,47,0,0.0,US,1690058500
134,telciu,47.4333,24.4,16.850000000000023,87,57,1.19,RO,1690058790
135,katsuura,35.1333,140.3,22.840000000000032,88,86,3.22,JP,1690058790
136,tazacorte,28.629,-17.9293,23.54000000000002,75,20,8.75,ES,1690058717
137,west island,-12.1568,96.8225,24.99000000000001,83,75,5.14,CC,1690058790
138,rongelap,11.1635,166.8941,28.49000000000001,74,58,8.05,MH,1690058790
139,glace bay,46.1969,-59.957,20.5,97,100,3.6,CA,1690058790
140,chadron,42.8294,-102.9999,32.82000000000005,28,0,2.57,US,1690058500
141,colonia,50.9333,6.95,20.53000000000003,53,0,0.51,DE,1690058791
142,isla aguada,18.7833,-91.4667,32.02000000000004,72,100,5.79,MX,1690058791
143,staraya russa,57.9944,31.3608,14.830000000000041,69,78,2.75,RU,1690058791
144,tommot,58.9564,126.2925,15.850000000000023,95,63,1.43,RU,1690058791
145,kingaroy,-26.5333,151.8333,5.470000000000027,68,0,1.15,AU,1690058791
146,mudgee,-32.5943,149.5871,1.990000000000009,93,0,2.06,AU,1690058791
147,grand falls-windsor,48.9332,-55.6649,26.950000000000045,67,100,3.13,CA,1690058792
148,onguday,50.75,86.15,10.580000000000041,89,41,1.19,RU,1690058792
149,georgetown,5.4112,100.3354,27.960000000000036,90,20,1.03,MY,1690058642
150,atherton,53.5237,-2.4935,17.25,96,100,1.34,GB,1690058792
151,maumere,-8.6199,122.2111,24.24000000000001,79,90,2.92,ID,1690058792
152,chui,-33.6971,-53.4616,21.700000000000045,71,100,6.36,UY,1690058607
153,tazovsky,67.4667,78.7,13.400000000000034,98,69,2.92,RU,1690058658
154,gemena,3.25,19.7667,22.720000000000027,91,29,1.2,CD,1690058793
155,nuuk,64.1835,-51.7216,7.340000000000032,100,75,8.75,GL,1690058793
156,riberalta,-10.9833,-66.1,33.110000000000014,49,20,2.57,BO,1690058616
157,prado,-17.3411,-39.2208,21.210000000000036,91,12,3.86,BR,1690058793
158,le poinconnet,46.7641,1.7179,19.939999999999998,64,0,4.12,FR,1690058793
159,yellowknife,62.456,-114.3525,22.29000000000002,40,75,4.12,CA,1690058510
160,vershino-darasunskiy,52.35,115.5167,9.660000000000025,76,10,1.9,RU,1690058793
161,chernyshevskiy,63.0128,112.4714,17.07000000000005,69,8,1.1,RU,1690058214
162,hovd,48.0056,91.6419,17.310000000000002,45,0,2.11,MN,1690058794
163,burley,42.5357,-113.7928,33.98000000000002,22,0,0.0,US,1690058794
164,manta,-0.95,-80.7333,31.879999999999995,74,40,4.92,EC,1690058524
165,luderitz,-26.6481,15.1594,12.379999999999995,70,97,4.35,NA,1690058739
166,tsiombe,-25.3,45.4833,19.310000000000002,80,68,2.74,MG,1690058794
167,papatowai,-46.5619,169.4708,9.020000000000039,94,100,3.73,NZ,1690058794
168,enriquillo,17.9,-71.2333,33.82000000000005,64,0,5.13,DO,1690058794
169,timbiqui,2.7717,-77.6654,28.78000000000003,77,64,2.96,CO,1690058794
170,petropavlovsk-kamchatsky,53.0452,158.6483,15.330000000000041,77,0,3.0,RU,1690058606
171,hilo,19.7297,-155.09,27.28000000000003,86,75,1.34,US,1690058643
172,port elizabeth,-33.918,25.5701,10.610000000000014,78,0,3.43,ZA,1690058502
173,jalalabad,34.4265,70.4515,29.379999999999995,66,6,1.68,AF,1690058795
174,isafjordur,66.0755,-23.124,11.460000000000036,77,99,0.7,IS,1690058795
175,tual,-5.6667,132.75,26.30000000000001,75,19,9.13,ID,1690058795
176,sovetskiy,61.3614,63.5842,14.100000000000023,81,27,1.82,RU,1690058795
177,aldama,22.9167,-98.0667,36.94,41,1,7.08,MX,1690058796
178,st. paul,44.9444,-93.0933,31.53000000000003,54,75,11.32,US,1690058713
179,mareeba,-17.0,145.4333,15.400000000000034,91,34,1.22,AU,1690058796
180,arawa,-6.2132,155.5367,25.350000000000023,89,100,2.92,PG,1690058796
181,inhambane,-23.865,35.3833,18.460000000000036,77,0,1.74,MZ,1690058796
182,hotan,37.0997,79.9269,30.170000000000016,21,100,2.34,CN,1690058796
183,cannonvale,-20.2833,148.7,19.660000000000025,78,29,2.86,AU,1690058201
184,arish,31.1316,33.7984,27.430000000000007,71,0,0.47,EG,1690058797
185,queenstown,-31.8976,26.8753,11.379999999999995,67,15,3.54,ZA,1690058753
186,petukhovo,55.0692,67.9019,16.460000000000036,72,41,3.28,RU,1690058798
187,vilyuysk,63.7553,121.6247,19.29000000000002,83,60,2.69,RU,1690058750
188,barra de santo antonio,-9.4047,-35.5072,23.600000000000023,81,67,6.4,BR,1690058732
189,port hueneme,34.1478,-119.1951,36.55000000000001,73,20,5.66,US,1690058799
